DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2011-04-12,609196,8268688,19:55:44,26.607459273098947,81.60310279138032,193 m,0 km/h,P1,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:55:54,26.607459273098865,81.4080163385331,193 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:04,26.607459273098865,81.31047311210948,193 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:14,26.70900128540098,81.31047311210948,193 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:24,26.70900128540098,81.31047311210948,193 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:34,26.70900128540098,81.31047311210948,193 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:44,26.70900128540098,81.31047311210948,193 m,8 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609176,8268697,19:56:54,26.70900128540098,81.4080163385331,193 m,21 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609123,8268719,19:57:04,26.70900128540098,81.4080163385331,194 m,28 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609052,8268749,19:57:14,26.70900128540098,81.6031027913803,195 m,31 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608974,8268782,19:57:24,26.70900128540098,81.7006460178039,196 m,32 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608891,8268817,19:57:34,26.70900128540098,81.89573247065113,196 m,32 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608809,8268851,19:57:44,26.70900128540098,82.28590537634553,196 m,32 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608727,8268886,19:57:54,26.70900128540098,82.09081892349832,196 m,32 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608645,8268922,19:58:04,26.607459273098865,82.09081892349832,197 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608562,8268958,19:58:14,26.607459273098865,82.09081892349832,197 m,34 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608475,8268997,19:58:24,26.505917260796743,82.38344860276915,198 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608392,8269035,19:58:34,26.505917260796743,82.28590537634553,197 m,32 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608311,8269072,19:58:44,26.505917260796743,82.18836214992193,198 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608228,8269110,19:58:54,26.505917260796743,81.89573247065113,198 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
