DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,Unnamed: 9,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2016-05-11,609059,8268748, 23:57:4,26.4,72.7,195.0,0.65,P1 ,T1,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609060,8268748, 23:57:5,26.4,72.7,196.8,0.65,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609060,8268748, 23:57:6,26.4,72.7,197.5,0.65,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609060,8268750, 23:57:7,26.4,73.5,198.3,0.65,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609060,8268750, 23:57:8,26.4,73.5,199.0,0.65,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268750, 23:57:9,26.4,73.5,199.0,0.72,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268751, 23:57:10,26.4,73.5,201.0,0.72,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268751, 23:57:11,26.4,73.5,201.5,0.72,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268752, 23:57:12,26.4,73.5,202.6,0.72,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268752, 23:57:13,26.4,73.4,202.6,0.72,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268752, 23:57:14,26.4,73.4,202.6,0.46,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268752, 23:57:15,26.4,73.4,204.0,0.46,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268753, 23:57:16,26.4,73.4,204.6,0.46,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268753, 23:57:17,26.4,73.4,206.0,0.46,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2016-05-11,609061,8268754, 23:57:18,26.4,73.4,207.4,0.46,,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
