DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,Unnamed: 9,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2016-03-04,607662,8269352, 0:13:3,29.1,82.5,190.6,38.8,P1,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607651,8269357, 0:13:4,29.1,82.5,190.6,38.87,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607641,8269361, 0:13:5,29.1,82.5,189.4,38.87,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607632,8269365, 0:13:6,29.1,82.8,189.0,38.87,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607622,8269369, 0:13:7,29.1,82.8,188.8,38.87,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607612,8269374, 0:13:8,29.1,82.8,188.8,37.65,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607603,8269377, 0:13:9,29.1,82.9,188.5,37.65,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607593,8269382, 0:13:10,29.1,82.9,188.8,37.65,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607583,8269385, 0:13:11,29.1,82.9,188.7,37.65,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607522,8269412, 0:13:18,29.1,82.6,189.0,33.24,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607514,8269415, 0:13:19,29.1,82.6,189.3,33.24,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607505,8269420, 0:13:20,29.1,82.6,189.2,33.24,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607496,8269423, 0:13:21,29.1,83.3,189.2,33.24,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607487,8269426, 0:13:22,29.1,83.3,189.2,33.24,,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2016-03-04,607480,8269431, 0:13:23,29.1,83.3,189.2,32.08,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607472,8269434, 0:13:24,29.1,83.3,190.4,32.08,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607465,8269439, 0:13:25,29.1,83.3,191.0,32.08,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607457,8269442, 0:13:26,29.1,83.3,191.4,32.08,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607449,8269446, 0:13:27,29.1,83.4,191.9,32.08,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607441,8269451, 0:13:28,29.1,83.4,191.9,33.8,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607433,8269455, 0:13:29,29.1,83.4,192.6,33.8,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607425,8269459, 0:13:30,29.1,83.6,193.1,33.8,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607418,8269463, 0:13:31,29.1,83.6,193.5,33.8,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607411,8269466, 0:13:32,29.1,83.6,193.8,33.8,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607404,8269471, 0:13:33,29.1,83.6,193.8,30.02,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607397,8269474, 0:13:34,29.1,83.6,193.8,30.91,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607390,8269479, 0:13:35,29.1,83.6,195.4,30.91,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607382,8269483, 0:13:36,29.1,83.6,195.9,30.91,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607374,8269488, 0:13:37,29.1,83.6,196.4,30.91,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607366,8269492, 0:13:38,29.1,83.6,196.4,33.61,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607358,8269497, 0:13:39,29.1,83.4,197.0,33.61,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607349,8269501, 0:13:40,29.1,83.4,197.0,33.61,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607341,8269506, 0:13:41,29.1,83.4,197.1,33.61,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607332,8269510, 0:13:42,29.1,83.4,197.2,33.61,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607324,8269516, 0:13:43,29.1,83.4,197.2,37.13,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607314,8269520, 0:13:44,29.1,83.4,197.1,37.13,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607304,8269523, 0:13:45,29.1,83.6,196.8,37.13,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2016-03-04,607296,8269528, 0:13:46,29.1,83.6,197.0,37.13,,,607388,8269468,,P1.10,,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
