row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,0,2011-06-21 00:00:00,609191,8268691,19:42:53,28.333673482235,51.2671593736392,187 m,0 km/h,130.176802849048
2,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1,2011-06-21 00:00:00,609191,8268691,19:43:03,28.333673482235,51.4622458264864,188 m,0 km/h,130.176802849048
3,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,2,2011-06-21 00:00:00,609191,8268691,19:43:13,28.4352154945371,51.4622458264864,188 m,0 km/h,130.176802849048
4,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,3,2011-06-21 00:00:00,609191,8268691,19:43:23,28.4352154945371,51.2671593736392,188 m,0 km/h,130.176802849048
5,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,4,2011-06-21 00:00:00,609191,8268691,19:43:33,28.4352154945371,51.2671593736392,188 m,0 km/h,130.176802849048
6,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,5,2011-06-21 00:00:00,609191,8268691,19:43:43,28.4352154945371,51.2671593736392,188 m,0 km/h,130.176802849048
7,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,6,2011-06-21 00:00:00,609191,8268691,19:43:53,28.5367575068392,51.1696161472156,188 m,20 km/h,130.176802849048
8,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,7,2011-06-21 00:00:00,609139,8268712,19:44:03,28.5367575068392,51.072072920792,189 m,31 km/h,74.6257328272225
9,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,8,2011-06-21 00:00:00,609059,8268746,19:44:13,28.5367575068392,50.8769864679448,190 m,26 km/h,18.0277563773199
10,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,9,2011-06-21 00:00:00,608992,8268774,19:44:23,28.5367575068392,50.9745296943684,190 m,35 km/h,86.8331733843696
530,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,529,2011-06-28 00:00:00,609196,8268688,19:44:47,21.2257326210866,69.8979156205477,187 m,0 km/h,136
531,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,530,2011-06-28 00:00:00,609196,8268688,19:44:57,21.2257326210866,69.6052859412769,187 m,0 km/h,136
532,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,531,2011-06-28 00:00:00,609196,8268688,19:45:07,21.3272746333887,69.6052859412769,187 m,0 km/h,136
533,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,532,2011-06-28 00:00:00,609196,8268688,19:45:17,21.3272746333887,69.5077427148533,186 m,0 km/h,136
534,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,533,2011-06-28 00:00:00,609196,8268688,19:45:27,21.3272746333887,69.6052859412769,187 m,0 km/h,136
535,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,534,2011-06-28 00:00:00,609196,8268688,19:45:37,21.3272746333887,69.7028291677005,187 m,10 km/h,136
536,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,535,2011-06-28 00:00:00,609171,8268699,19:45:47,21.3272746333887,69.7028291677005,188 m,32 km/h,108.784190027779
537,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,536,2011-06-28 00:00:00,609088,8268734,19:45:57,21.3272746333887,69.8003723941241,189 m,35 km/h,21.6333076527839
538,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,537,2011-06-28 00:00:00,608999,8268771,19:46:07,21.3272746333887,69.8003723941241,192 m,37 km/h,79.3095202355934
1046,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1045,2011-07-07 00:00:00,609190,8268691,19:49:32,24.3735350024523,67.5568781863812,196 m,0 km/h,129.29423807734
1047,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1046,2011-07-07 00:00:00,609190,8268691,19:49:42,24.4750770147544,67.5568781863812,196 m,0 km/h,129.29423807734
1048,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1047,2011-07-07 00:00:00,609190,8268691,19:49:52,24.4750770147544,67.4593349599576,195 m,0 km/h,129.29423807734
1049,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1048,2011-07-07 00:00:00,609190,8268691,19:50:02,24.4750770147544,67.4593349599576,196 m,0 km/h,129.29423807734
1050,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1049,2011-07-07 00:00:00,609190,8268691,19:50:12,24.4750770147544,67.361791733534,196 m,0 km/h,129.29423807734
1051,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1050,2011-07-07 00:00:00,609190,8268691,19:50:22,24.4750770147544,67.4593349599576,196 m,24 km/h,129.29423807734
1052,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1051,2011-07-07 00:00:00,609129,8268717,19:50:32,24.4750770147544,67.361791733534,199 m,34 km/h,63.5137780328017
1053,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1052,2011-07-07 00:00:00,609041,8268754,19:50:42,24.4750770147544,67.361791733534,200 m,37 km/h,35.0570962859162
