row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,0,2011-04-12 00:00:00,609196,8268688,19:55:44,26.6074592730989,81.6031027913803,193 m,0 km/h,136
2,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1,2011-04-12 00:00:00,609196,8268688,19:55:54,26.6074592730989,81.4080163385331,193 m,0 km/h,136
3,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,2,2011-04-12 00:00:00,609196,8268688,19:56:04,26.6074592730989,81.3104731121095,193 m,0 km/h,136
4,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,3,2011-04-12 00:00:00,609196,8268688,19:56:14,26.709001285401,81.3104731121095,193 m,0 km/h,136
5,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,4,2011-04-12 00:00:00,609196,8268688,19:56:24,26.709001285401,81.3104731121095,193 m,0 km/h,136
6,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,5,2011-04-12 00:00:00,609196,8268688,19:56:34,26.709001285401,81.3104731121095,193 m,0 km/h,136
7,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,6,2011-04-12 00:00:00,609196,8268688,19:56:44,26.709001285401,81.3104731121095,193 m,8 km/h,136
8,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,7,2011-04-12 00:00:00,609176,8268697,19:56:54,26.709001285401,81.4080163385331,193 m,21 km/h,114.127122105133
9,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,8,2011-04-12 00:00:00,609123,8268719,19:57:04,26.709001285401,81.4080163385331,194 m,28 km/h,57.4282160614449
10,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,9,2011-04-12 00:00:00,609052,8268749,19:57:14,26.709001285401,81.6031027913803,195 m,31 km/h,24.1867732448956
11,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,10,2011-04-12 00:00:00,608974,8268782,19:57:24,26.709001285401,81.7006460178039,196 m,32 km/h,106.320270880016
558,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,557,2011-04-19 00:00:00,609189,8268691,19:45:21,29.4506356175582,70.3856317526657,196 m,0 km/h,128.413394939936
559,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,558,2011-04-19 00:00:00,609189,8268691,19:45:31,29.4506356175582,70.3856317526657,196 m,0 km/h,128.413394939936
560,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,559,2011-04-19 00:00:00,609189,8268691,19:45:41,29.4506356175582,70.2880885262421,196 m,0 km/h,128.413394939936
561,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,560,2011-04-19 00:00:00,609189,8268691,19:45:51,29.4506356175582,70.1905452998185,196 m,0 km/h,128.413394939936
562,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,561,2011-04-19 00:00:00,609189,8268691,19:46:01,29.4506356175582,70.2880885262421,196 m,0 km/h,128.413394939936
563,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,562,2011-04-19 00:00:00,609189,8268691,19:46:11,29.4506356175582,70.1905452998185,196 m,0 km/h,128.413394939936
564,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,563,2011-04-19 00:00:00,609189,8268691,19:46:21,29.4506356175582,70.1905452998185,197 m,0 km/h,128.413394939936
565,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,564,2011-04-19 00:00:00,609189,8268691,19:46:31,29.4506356175582,70.2880885262421,196 m,0 km/h,128.413394939936
566,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,565,2011-04-19 00:00:00,609189,8268691,19:46:41,29.4506356175582,70.2880885262421,196 m,13 km/h,128.413394939936
567,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,566,2011-04-19 00:00:00,609157,8268705,19:46:51,29.4506356175582,70.4831749790893,197 m,31 km/h,93.6482781475452
568,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,567,2011-04-19 00:00:00,609078,8268738,19:47:01,29.4506356175582,70.3856317526657,198 m,32 km/h,14.142135623731
569,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,568,2011-04-19 00:00:00,608996,8268772,19:47:11,29.4506356175582,70.5807182055129,198 m,34 km/h,82.4621125123532
1115,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1114,2011-04-26 00:00:00,609180,8268695,19:48:37,27.1151693346095,79.9448679421791,194 m,0 km/h,118.595952713404
1116,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1115,2011-04-26 00:00:00,609180,8268695,19:48:47,27.1151693346095,79.8473247157554,194 m,0 km/h,118.595952713404
1117,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1116,2011-04-26 00:00:00,609180,8268695,19:48:57,27.1151693346095,79.9448679421791,194 m,0 km/h,118.595952713404
1118,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1117,2011-04-26 00:00:00,609180,8268695,19:49:07,27.1151693346095,79.8473247157554,194 m,0 km/h,118.595952713404
1119,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1118,2011-04-26 00:00:00,609180,8268695,19:49:17,27.1151693346095,79.8473247157554,194 m,0 km/h,118.595952713404
1120,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1119,2011-04-26 00:00:00,609180,8268695,19:49:27,27.1151693346095,79.8473247157554,194 m,6 km/h,118.595952713404
1121,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1120,2011-04-26 00:00:00,609163,8268702,19:49:37,27.1151693346095,79.8473247157554,195 m,30 km/h,100.344406919369
1122,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1121,2011-04-26 00:00:00,609087,8268735,19:49:47,27.1151693346095,79.9448679421791,196 m,34 km/h,20.2484567313166
1123,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1122,2011-04-26 00:00:00,608999,8268771,19:49:57,27.1151693346095,80.0424111686027,199 m,34 km/h,79.3095202355934
1654,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1653,2011-05-09 00:00:00,609197,8268688,19:50:44,28.5367575068392,65.6060136579091,197 m,3 km/h,136.883161857111
1655,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1654,2011-05-09 00:00:00,609190,8268691,19:50:54,28.5367575068392,65.6060136579091,197 m,0 km/h,129.29423807734
1656,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1655,2011-05-09 00:00:00,609190,8268691,19:51:04,28.5367575068392,65.5084704314855,197 m,0 km/h,129.29423807734
1657,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1656,2011-05-09 00:00:00,609190,8268691,19:51:14,28.5367575068392,65.6060136579091,196 m,0 km/h,129.29423807734
1658,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1657,2011-05-09 00:00:00,609190,8268691,19:51:24,28.5367575068392,65.6060136579091,197 m,0.5 km/h,129.29423807734
1659,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1658,2011-05-09 00:00:00,609188,8268692,19:51:34,28.5367575068392,65.7035568843327,197 m,24 km/h,127.059041394149
