row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,0,2016-10-28 00:00:00,609080,8268751, 0:4:14,24.6,60.9,193.3,0.09,4.12310562561766
2,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,1,2016-10-28 00:00:00,609080,8268751, 0:4:15,24.6,60.9,193.3,0.02,4.12310562561766
3,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,2,2016-10-28 00:00:00,609080,8268751, 0:4:16,24.6,60.9,193.1,0.02,4.12310562561766
4,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,3,2016-10-28 00:00:00,609080,8268751, 0:4:17,24.7,61.6,193,0.02,4.12310562561766
5,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4,2016-10-28 00:00:00,609080,8268751, 0:4:18,24.7,61.6,192.9,0.02,4.12310562561766
6,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,5,2016-10-28 00:00:00,609080,8268751, 0:4:19,24.7,61.6,192.9,0.04,4.12310562561766
7,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,6,2016-10-28 00:00:00,609080,8268751, 0:4:20,24.6,61.4,192.9,0.04,4.12310562561766
8,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,7,2016-10-28 00:00:00,609080,8268751, 0:4:21,24.6,61.4,192.8,0.04,4.12310562561766
9,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,8,2016-10-28 00:00:00,609080,8268751, 0:4:22,24.6,61.4,192.8,0.04,4.12310562561766
10,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,9,2016-10-28 00:00:00,609080,8268751, 0:4:23,24.6,61.4,192.8,0.04,4.12310562561766
11,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,10,2016-10-28 00:00:00,609080,8268751, 0:4:24,24.6,61.4,192.8,0.02,4.12310562561766
12,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,11,2016-10-28 00:00:00,609080,8268751, 0:4:25,24.6,61.4,192.8,0.02,4.12310562561766
