row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,0,2016-03-04 00:00:00,609081,8268753, 0:9:40,29.2,83.5,200.1,8.63,5.09901951359278
2,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,1,2016-03-04 00:00:00,609080,8268751, 0:9:41,29.2,83.5,200,8.63,4.12310562561766
3,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,2,2016-03-04 00:00:00,609071,8268744, 0:9:48,29.2,82.8,200,8.46,9.4339811320566
4993,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4992,2016-03-06 00:00:00,609079,8268741, 0:7:9,27.1,85.6,200.1,18.78,11.4017542509914
4994,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4993,2016-03-06 00:00:00,609074,8268743, 0:7:10,27.1,85.6,200.1,19.37,9.21954445729289
4995,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4994,2016-03-06 00:00:00,609068,8268745, 0:7:11,27.1,85.5,200.3,19.37,10.6301458127346
4996,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4995,2016-03-06 00:00:00,609064,8268746, 0:7:12,27.1,85.5,200.6,19.37,13.4164078649987
4997,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4996,2016-03-06 00:00:00,609059,8268748, 0:7:13,27.1,85.5,200.7,19.37,17.464249196573
4998,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4997,2016-03-06 00:00:00,609052,8268751, 0:7:14,27.1,85.4,200.9,19.37,24.0208242989286
4999,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4998,2016-03-06 00:00:00,609048,8268753, 0:7:15,27.1,85.4,200.9,20.59,28.0178514522438
5000,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4999,2016-03-06 00:00:00,609043,8268755, 0:7:16,27.1,85.4,200.6,20.59,33.1360830515618
5001,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,5000,2016-03-06 00:00:00,609036,8268757, 0:7:17,27.1,85.5,200.6,20.59,40.3112887414927
5002,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,5001,2016-03-06 00:00:00,609031,8268760, 0:7:18,27.1,85.5,200.6,20.59,45.7055795281058
